,title,imdb_id,poster_path,wiki_link,imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,imdb_id,imdb_rating,imdb_votes
49,Jabariya Jodi,tt8785426,https://upload.wikimedia.org/wikipedia/en/9/97/Jabariya_Jodi_poster.jpg,https://en.wikipedia.org/wiki/Jabariya_Jodi,tt1375789,Race 2,Race 2,0,2013,150,Action|Crime|Thriller,tt8902990,6.6,1659.0
50,Pranaam,tt7228072,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Pranaam_poster.jpg/220px-Pranaam_poster.jpg,https://en.wikipedia.org/wiki/Pranaam,tt1388903,Mirch,Mirch,0,2010,105,Comedy|Drama|Fantasy,tt9248972,6.5,7165.0
51,The Sky Is Pink,tt8902990,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/The_Sky_Is_Pink.jpg/220px-The_Sky_Is_Pink.jpg,https://en.wikipedia.org/wiki/The_Sky_Is_Pink,tt1392744,Chance Pe Dance,Chance Pe Dance,0,2010,122,Comedy|Drama|Music,tt6836936,5.5,12049.0
52,Mission Mangal,tt9248972,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Mission_Mangal.jpg/220px-Mission_Mangal.jpg,https://en.wikipedia.org/wiki/Mission_Mangal,tt1395025,Agent Vinod,Agent Vinod,0,2012,157,Action|Adventure|Thriller,tt9248940,7.5,4077.0
53,Saaho,tt6836936,https://upload.wikimedia.org/wikipedia/en/6/6b/Saaho_poster.jpg,https://en.wikipedia.org/wiki/Saaho,tt1395054,Once Upon a Time in Mumbai,Once Upon a Time in Mumbaai,0,2010,134,Action|Crime|Drama,tt8144834,8.4,1841.0
54,Dream Girl (2019 film),tt9248940,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Dream_Girl.png/220px-Dream_Girl.png,https://en.wikipedia.org/wiki/Dream_Girl_(2019_film),tt1396208,Action Replay,Action Replayy,0,2010,129,Comedy|Romance|Sci-Fi,tt8304386,4.1,683.0
55,Section 375,tt8144834,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Section_375_poster.jpg/220px-Section_375_poster.jpg,https://en.wikipedia.org/wiki/Section_375,tt1397492,Well Done Abba!,Well Done Abba!,0,2009,144,Comedy,tt6978954,4.6,562.0
56,The Zoya Factor (film),tt8304386,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/The_Zoya_Factor_poster.jpg/220px-The_Zoya_Factor_poster.jpg,https://en.wikipedia.org/wiki/The_Zoya_Factor_(film),tt1425618,Apartment: Rent at Your Own Risk,Apartment: Rent at Your Own Risk,0,2010,97,Drama|Mystery|Thriller,tt8706884,6.0,272.0
57,Pal Pal Dil Ke Paas,tt6978954,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Pal_Pal_Dil_Ke_Pass_poster.jpg/220px-Pal_Pal_Dil_Ke_Pass_poster.jpg,https://en.wikipedia.org/wiki/Pal_Pal_Dil_Ke_Paas,tt1431122,No Problem,No Problem,0,2010,139,Action|Comedy|Crime,tt10816510,7.8,777.0
58,Prassthanam,tt8706884,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Prassthanam_poster.jpg/220px-Prassthanam_poster.jpg,https://en.wikipedia.org/wiki/Prassthanam,tt1433810,Dhobi Ghat,Dhobi Ghat,0,2010,100,Drama,tt9378950,8.7,1379.0
59,P Se Pyaar F Se Faraar,tt10816510,https://upload.wikimedia.org/wikipedia/en/7/74/P_Se_Pyaar_F_Se_Faraar_poster.jpg,https://en.wikipedia.org/wiki/P_Se_Pyaar_F_Se_Faraar,tt1437367,Thanks Maa,Thanks Maa,0,2009,120,Crime|Drama,tt9420648,8.2,1369.0
60,Ghost (2019 film),tt9378950,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Ghost_Film_Poster.jpg/220px-Ghost_Film_Poster.jpg,https://en.wikipedia.org/wiki/Ghost_(2019_film),tt1438298,Guzaarish,Guzaarish,0,2010,126,Drama,tt11007050,5.7,7.0
61,Bala (2019 film),tt9420648,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Bala_Film_Poster.jpg/220px-Bala_Film_Poster.jpg,https://en.wikipedia.org/wiki/Bala_(2019_film),tt1442583,Tum Milo Toh Sahi,Tum Milo Toh Sahi,0,2010,128,Comedy|Drama,tt7721946,3.3,4572.0
62,Laal Kaptaan,tt10360496,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Laal_Kaptaan_poster.jpg/220px-Laal_Kaptaan_poster.jpg,https://en.wikipedia.org/wiki/Laal_Kaptaan,tt1447508,Peepli (Live),Peepli (Live),0,2010,95,Comedy|Drama,tt8108206,8.9,1902.0
63,Yaaram (2019 film),tt11007050,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Yaaram_film_poster.jpg/220px-Yaaram_film_poster.jpg,https://en.wikipedia.org/wiki/Yaaram_(2019_film),tt1451797,Rann,Rann,0,2010,137,Drama|Mystery|Thriller,tt8983180,6.3,596.0
64,Housefull 4,tt7721946,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Housefull_4_poster.jpg/220px-Housefull_4_poster.jpg,https://en.wikipedia.org/wiki/Housefull_4,tt1455811,Khatta Meetha,Khatta Meetha,0,2010,157,Comedy|Crime|Drama,tt11046300,8.1,1440.0
65,Saand Ki Aankh,tt8108206,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Saand_Ki_Aankh_poster.jpg/220px-Saand_Ki_Aankh_poster.jpg,https://en.wikipedia.org/wiki/Saand_Ki_Aankh,tt1455816,Prince,Prince,0,2010,138,Action|Sci-Fi|Thriller,tt9176260,7.1,51.0
66,Made in China (2019 film),tt8983180,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Made_In_China_poster.jpg/220px-Made_In_China_poster.jpg,https://en.wikipedia.org/wiki/Made_In_China_(2019_film),tt1465488,Happy Husbands,Happy Husbands,0,2011,134,Comedy|Drama,tt9179426,4.6,34.0
67,Ujda Chaman,tt11046300,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Ujda_Chaman_Film_Poster.jpg/220px-Ujda_Chaman_Film_Poster.jpg,https://en.wikipedia.org/wiki/Ujda_Chaman,tt1465493,Hum Tum Aur Ghost,Hum Tum Aur Ghost,0,2010,125,Comedy|Drama|Fantasy,tt6102396,6.2,1978.0
68,Bypass Road (film),tt9176260,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Bypass_Road_Film.jpg/220px-Bypass_Road_Film.jpg,https://en.wikipedia.org/wiki/Bypass_Road_(film),tt1471247,Road to Sangam,Road to Sangam,0,2010,135,Drama|Thriller,tt6275262,5.6,959.0
69,Satellite Shankar,tt9179426,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Satellite_Shankar_poster.jpg/220px-Satellite_Shankar_poster.jpg,https://en.wikipedia.org/wiki/Satellite_Shankar,tt1499201,Anjaana Anjaani,Anjaana Anjaani,0,2010,151,Comedy|Drama|Musical,tt4335954,5.5,215.0
